"dateTime","sensorTemp"
2016-07-14 20:30:00,7.24
2016-07-14 21:00:00,7.16
2016-07-14 21:30:00,7.24
2016-07-14 22:00:00,7.24
2016-07-14 22:30:00,7.36
2016-07-14 23:00:00,7.88
2016-07-14 23:30:00,8.16
2016-07-15 00:00:00,7.98
2016-07-15 00:30:00,7.96
2016-07-15 01:00:00,7.86
2016-07-15 01:30:00,7.9
2016-07-15 02:00:00,7.92
2016-07-15 02:30:00,7.8
2016-07-15 03:00:00,7.72
2016-07-15 03:30:00,7.4
2016-07-15 04:00:00,7.48
2016-07-15 04:30:00,7.46
2016-07-15 05:00:00,7.44
2016-07-15 05:30:00,7.38
2016-07-15 06:00:00,7.34
2016-07-15 06:30:00,7.2
2016-07-15 07:00:00,7.36
2016-07-15 07:30:00,7.46
2016-07-15 08:00:00,7.34
2016-07-15 08:30:00,7.36
2016-07-15 09:00:00,7.42
2016-07-15 09:30:00,7.26
2016-07-15 10:00:00,7.38
2016-07-15 10:30:00,7.18
2016-07-15 11:00:00,7.2
2016-07-15 11:30:00,7.26
2016-07-15 12:00:00,7.2
2016-07-15 12:30:00,7.16
2016-07-15 13:00:00,7.08
2016-07-15 13:30:00,7
2016-07-15 14:00:00,7.2
2016-07-15 14:30:00,7.18
2016-07-15 15:00:00,6.98
2016-07-15 15:30:00,7.1
2016-07-15 16:00:00,7.28
2016-07-15 16:30:00,7.16
2016-07-15 17:00:00,7.26
2016-07-15 17:30:00,7.48
2016-07-15 18:00:00,7.5
2016-07-15 18:30:00,7.62
2016-07-15 19:00:00,7.74
2016-07-15 19:30:00,7.34
2016-07-15 20:00:00,7.24
2016-07-15 20:30:00,7.26
2016-07-15 21:00:00,7.28
2016-07-15 21:30:00,7.22
2016-07-15 22:00:00,7.52
2016-07-15 22:30:00,7.56
2016-07-15 23:00:00,7.72
2016-07-15 23:30:00,7.46
2016-07-16 00:00:00,7.4
2016-07-16 00:30:00,7.38
2016-07-16 01:00:00,7.36
2016-07-16 01:30:00,7.54
2016-07-16 02:00:00,7.86
2016-07-16 02:30:00,7.4
2016-07-16 03:00:00,7.26
2016-07-16 03:30:00,7.2
2016-07-16 04:00:00,7.32
2016-07-16 04:30:00,7.32
2016-07-16 05:00:00,7.28
2016-07-16 05:30:00,7.4
2016-07-16 06:00:00,7.18
2016-07-16 06:30:00,7.04
2016-07-16 07:00:00,7.12
2016-07-16 07:30:00,7.14
2016-07-16 08:00:00,7.1
2016-07-16 08:30:00,7.1
2016-07-16 09:00:00,7.1
2016-07-16 09:30:00,6.98
2016-07-16 10:00:00,6.86
2016-07-16 10:30:00,6.86
2016-07-16 11:00:00,6.82
2016-07-16 11:30:00,6.72
2016-07-16 12:00:00,6.7
2016-07-16 12:30:00,6.72
2016-07-16 13:00:00,6.68
2016-07-16 13:30:00,6.58
2016-07-16 14:00:00,6.88
2016-07-16 14:30:00,6.86
2016-07-16 15:00:00,7.26
2016-07-16 15:30:00,7.38
2016-07-16 16:00:00,7.4
2016-07-16 16:30:00,7.26
2016-07-16 17:00:00,7.58
2016-07-16 17:30:00,7.26
2016-07-16 18:00:00,7.04
2016-07-16 18:30:00,7.06
2016-07-16 19:00:00,7.32
2016-07-16 19:30:00,7.26
2016-07-16 20:00:00,7.38
2016-07-16 20:30:00,7.7
2016-07-16 21:00:00,7.3
2016-07-16 21:30:00,7.4
2016-07-16 22:00:00,7.36
2016-07-16 22:30:00,7.52
2016-07-16 23:00:00,8.26
2016-07-16 23:30:00,8.14
2016-07-17 00:00:00,8.26
2016-07-17 00:30:00,7.84
2016-07-17 01:00:00,7.68
2016-07-17 01:30:00,7.58
2016-07-17 02:00:00,7.52
2016-07-17 02:30:00,7.58
2016-07-17 03:00:00,7.52
2016-07-17 03:30:00,7.6
2016-07-17 04:00:00,7.54
2016-07-17 04:30:00,7.56
2016-07-17 05:00:00,7.52
2016-07-17 05:30:00,7.52
2016-07-17 06:00:00,7.44
2016-07-17 06:30:00,7.4
2016-07-17 07:00:00,7.34
2016-07-17 07:30:00,7.38
2016-07-17 08:00:00,7.34
2016-07-17 08:30:00,7.34
2016-07-17 09:00:00,7.24
2016-07-17 09:30:00,7.2
2016-07-17 10:00:00,7.12
2016-07-17 10:30:00,7.08
2016-07-17 11:00:00,7.1
2016-07-17 11:30:00,7.04
2016-07-17 12:00:00,6.96
2016-07-17 12:30:00,6.92
2016-07-17 13:00:00,6.96
2016-07-17 13:30:00,6.98
2016-07-17 14:00:00,6.98
2016-07-17 14:30:00,6.98
2016-07-17 15:00:00,7.06
2016-07-17 15:30:00,7.02
2016-07-17 16:00:00,6.9
2016-07-17 16:30:00,6.94
2016-07-17 17:00:00,7.08
2016-07-17 17:30:00,7.08
2016-07-17 18:00:00,7.16
2016-07-17 18:30:00,7.32
2016-07-17 19:00:00,7.22
2016-07-17 19:30:00,7.4
2016-07-17 20:00:00,7.2
2016-07-17 20:30:00,7.34
2016-07-17 21:00:00,7.38
2016-07-17 21:30:00,7.42
2016-07-17 22:00:00,7.38
2016-07-17 22:30:00,7.5
2016-07-17 23:00:00,7.5
2016-07-17 23:30:00,7.58
2016-07-18 00:00:00,7.58
2016-07-18 00:30:00,7.56
2016-07-18 01:00:00,7.5
2016-07-18 01:30:00,7.54
2016-07-18 02:00:00,7.5
2016-07-18 02:30:00,7.84
2016-07-18 03:00:00,7.74
2016-07-18 03:30:00,7.8
2016-07-18 04:00:00,7.62
2016-07-18 04:30:00,7.68
2016-07-18 05:00:00,7.84
2016-07-18 05:30:00,7.84
2016-07-18 06:00:00,7.74
2016-07-18 06:30:00,7.74
2016-07-18 07:00:00,7.76
2016-07-18 07:30:00,7.54
2016-07-18 08:00:00,7.64
2016-07-18 08:30:00,7.7
2016-07-18 09:00:00,7.42
2016-07-18 09:30:00,7.38
2016-07-18 10:00:00,7.4
2016-07-18 10:30:00,7.4
2016-07-18 11:00:00,7.34
2016-07-18 11:30:00,7.46
2016-07-18 12:00:00,7.42
2016-07-18 12:30:00,7.42
2016-07-18 13:00:00,7.62
2016-07-18 13:30:00,7.66
2016-07-18 14:00:00,7.78
2016-07-18 14:30:00,7.44
2016-07-18 15:00:00,7.38
2016-07-18 15:30:00,7.46
2016-07-18 16:00:00,7.4
2016-07-18 16:30:00,7.44
2016-07-18 17:00:00,7.56
2016-07-18 17:30:00,7.42
2016-07-18 18:00:00,7.52
2016-07-18 18:30:00,7.54
2016-07-18 19:00:00,7.6
2016-07-18 19:30:00,7.66
2016-07-18 20:00:00,7.62
2016-07-18 20:30:00,7.64
2016-07-18 21:00:00,7.66
2016-07-18 21:30:00,7.56
2016-07-18 22:00:00,7.58
2016-07-18 22:30:00,7.64
2016-07-18 23:00:00,7.72
2016-07-18 23:30:00,7.78
2016-07-19 00:00:00,7.74
2016-07-19 00:30:00,7.76
2016-07-19 01:00:00,7.66
2016-07-19 01:30:00,7.7
2016-07-19 02:00:00,7.7
2016-07-19 02:30:00,7.64
2016-07-19 03:00:00,7.7
2016-07-19 03:30:00,7.68
2016-07-19 04:00:00,7.6
2016-07-19 04:30:00,7.6
2016-07-19 05:00:00,7.74
2016-07-19 05:30:00,7.48
2016-07-19 06:00:00,7.44
2016-07-19 06:30:00,7.68
2016-07-19 07:00:00,7.52
2016-07-19 07:30:00,7.52
2016-07-19 08:00:00,7.46
2016-07-19 08:30:00,7.46
2016-07-19 09:00:00,7.6
2016-07-19 09:30:00,7.5
2016-07-19 10:00:00,7.5
2016-07-19 10:30:00,7.66
2016-07-19 11:00:00,8
2016-07-19 11:30:00,7.92
2016-07-19 12:00:00,7.78
2016-07-19 12:30:00,7.56
2016-07-19 13:00:00,7.66
2016-07-19 13:30:00,7.58
2016-07-19 14:00:00,7.18
2016-07-19 14:30:00,7.34
2016-07-19 15:00:00,7.32
2016-07-19 15:30:00,7.32
2016-07-19 16:00:00,7.44
2016-07-19 16:30:00,7.52
2016-07-19 17:00:00,7.66
2016-07-19 17:30:00,7.18
2016-07-19 18:00:00,7.2
2016-07-19 18:30:00,7.5
2016-07-19 19:00:00,8.28
2016-07-19 19:30:00,8.32
2016-07-19 20:00:00,8.06
2016-07-19 20:30:00,7.64
2016-07-19 21:00:00,7.64
2016-07-19 21:30:00,7.66
2016-07-19 22:00:00,7.66
2016-07-19 22:30:00,7.66
2016-07-19 23:00:00,7.78
2016-07-19 23:30:00,7.76
2016-07-20 00:00:00,7.86
2016-07-20 00:30:00,7.74
2016-07-20 01:00:00,7.74
2016-07-20 01:30:00,7.9
2016-07-20 02:00:00,7.86
2016-07-20 02:30:00,7.94
2016-07-20 03:00:00,8.02
2016-07-20 03:30:00,8
2016-07-20 04:00:00,7.74
2016-07-20 04:30:00,7.86
2016-07-20 05:00:00,7.98
2016-07-20 05:30:00,7.86
2016-07-20 06:00:00,7.66
2016-07-20 06:30:00,7.86
2016-07-20 07:00:00,7.58
2016-07-20 07:30:00,7.76
2016-07-20 08:00:00,7.72
2016-07-20 08:30:00,7.8
2016-07-20 09:00:00,7.78
2016-07-20 09:30:00,7.38
2016-07-20 10:00:00,7.56
2016-07-20 10:30:00,7.7
2016-07-20 11:00:00,7.46
2016-07-20 11:30:00,7.1
2016-07-20 12:00:00,7.76
2016-07-20 12:30:00,7.54
2016-07-20 13:00:00,7.18
2016-07-20 13:30:00,7.52
2016-07-20 14:00:00,7.6
2016-07-20 14:30:00,7
2016-07-20 15:00:00,7.12
2016-07-20 15:30:00,7.18
2016-07-20 16:00:00,7.2
2016-07-20 16:30:00,7.18
2016-07-20 17:00:00,7.38
2016-07-20 17:30:00,7.46
2016-07-20 18:00:00,7.28
2016-07-20 18:30:00,7.32
2016-07-20 19:00:00,7.32
2016-07-20 19:30:00,7.48
2016-07-20 20:00:00,7.58
2016-07-20 20:30:00,7.58
2016-07-20 21:00:00,7.84
2016-07-20 21:30:00,7.64
2016-07-20 22:00:00,7.58
2016-07-20 22:30:00,7.56
2016-07-20 23:00:00,7.58
2016-07-20 23:30:00,7.74
2016-07-21 00:00:00,7.86
2016-07-21 00:30:00,7.78
2016-07-21 01:00:00,7.66
2016-07-21 01:30:00,7.76
2016-07-21 02:00:00,7.72
2016-07-21 02:30:00,7.68
2016-07-21 03:00:00,7.56
2016-07-21 03:30:00,7.82
2016-07-21 04:00:00,7.72
2016-07-21 04:30:00,7.56
2016-07-21 05:00:00,7.5
2016-07-21 05:30:00,7.46
2016-07-21 06:00:00,7.68
2016-07-21 06:30:00,7.84
2016-07-21 07:00:00,8.02
2016-07-21 07:30:00,7.6
2016-07-21 08:00:00,7.84
2016-07-21 08:30:00,7.86
2016-07-21 09:00:00,7.46
2016-07-21 09:30:00,7.3
2016-07-21 10:00:00,7.04
2016-07-21 10:30:00,7.02
2016-07-21 11:00:00,7.08
2016-07-21 11:30:00,7.36
2016-07-21 12:00:00,7.26
2016-07-21 12:30:00,7.26
2016-07-21 13:00:00,7.12
2016-07-21 13:30:00,7.16
2016-07-21 14:00:00,7.26
2016-07-21 14:30:00,7.16
2016-07-21 15:00:00,6.94
2016-07-21 15:30:00,7.22
2016-07-21 16:00:00,7.06
2016-07-21 16:30:00,7.06
2016-07-21 17:00:00,7.06
2016-07-21 17:30:00,7.1
2016-07-21 18:00:00,7.24
2016-07-21 18:30:00,7.32
2016-07-21 19:00:00,7.24
2016-07-21 19:30:00,7.16
2016-07-21 20:00:00,7.3
2016-07-21 20:30:00,7.26
2016-07-21 21:00:00,7.36
2016-07-21 21:30:00,7.36
2016-07-21 22:00:00,7.46
2016-07-21 22:30:00,7.42
2016-07-21 23:00:00,7.36
2016-07-21 23:30:00,7.48
2016-07-22 00:00:00,7.52
2016-07-22 00:30:00,7.42
2016-07-22 01:00:00,7.36
2016-07-22 01:30:00,7.32
2016-07-22 02:00:00,7.28
2016-07-22 02:30:00,7.4
2016-07-22 03:00:00,7.38
2016-07-22 03:30:00,7.3
2016-07-22 04:00:00,7.16
2016-07-22 04:30:00,7.16
2016-07-22 05:00:00,7.22
2016-07-22 05:30:00,7.38
2016-07-22 06:00:00,7.18
2016-07-22 06:30:00,7.14
2016-07-22 07:00:00,7.2
2016-07-22 07:30:00,7.22
2016-07-22 08:00:00,7.14
2016-07-22 08:30:00,7.12
2016-07-22 09:00:00,7.12
2016-07-22 09:30:00,6.9
2016-07-22 10:00:00,6.96
2016-07-22 10:30:00,7.08
2016-07-22 11:00:00,6.86
2016-07-22 11:30:00,7.24
2016-07-22 12:00:00,7.1
2016-07-22 12:30:00,7.46
2016-07-22 13:00:00,7.46
2016-07-22 13:30:00,7.38
2016-07-22 14:00:00,7.34
2016-07-22 14:30:00,6.92
2016-07-22 15:00:00,6.88
2016-07-22 15:30:00,6.98
2016-07-22 16:00:00,6.94
2016-07-22 16:30:00,7.04
2016-07-22 17:00:00,7.06
2016-07-22 17:30:00,7.04
2016-07-22 18:00:00,7.1
2016-07-22 18:30:00,7.16
2016-07-22 19:00:00,7.2
2016-07-22 19:30:00,7.2
2016-07-22 20:00:00,7.26
2016-07-22 20:30:00,7.32
2016-07-22 21:00:00,7.32
2016-07-22 21:30:00,7.36
2016-07-22 22:00:00,7.36
2016-07-22 22:30:00,7.3
2016-07-22 23:00:00,7.56
2016-07-22 23:30:00,7.68
2016-07-23 00:00:00,7.42
2016-07-23 00:30:00,7.5
2016-07-23 01:00:00,7.54
2016-07-23 01:30:00,7.52
2016-07-23 02:00:00,7.52
2016-07-23 02:30:00,7.7
2016-07-23 03:00:00,7.58
2016-07-23 03:30:00,7.56
2016-07-23 04:00:00,7.62
2016-07-23 04:30:00,7.64
2016-07-23 05:00:00,7.7
2016-07-23 05:30:00,7.5
2016-07-23 06:00:00,7.68
2016-07-23 06:30:00,7.84
2016-07-23 07:00:00,7.62
2016-07-23 07:30:00,7.72
2016-07-23 08:00:00,7.72
2016-07-23 08:30:00,7.9
2016-07-23 09:00:00,8.14
2016-07-23 09:30:00,8.38
2016-07-23 10:00:00,7.8
2016-07-23 10:30:00,7.74
2016-07-23 11:00:00,7.54
2016-07-23 11:30:00,7.66
2016-07-23 12:00:00,7.68
2016-07-23 12:30:00,7.72
2016-07-23 13:00:00,7.74
2016-07-23 13:30:00,7.68
2016-07-23 14:00:00,7.7
2016-07-23 14:30:00,7.5
2016-07-23 15:00:00,7.66
2016-07-23 15:30:00,7.7
2016-07-23 16:00:00,7.74
2016-07-23 16:30:00,7.8
2016-07-23 17:00:00,7.86
2016-07-23 17:30:00,7.86
2016-07-23 18:00:00,7.92
2016-07-23 18:30:00,7.64
2016-07-23 19:00:00,7.64
2016-07-23 19:30:00,7.6
2016-07-23 20:00:00,7.74
2016-07-23 20:30:00,7.72
2016-07-23 21:00:00,7.72
2016-07-23 21:30:00,7.66
2016-07-23 22:00:00,8.06
2016-07-23 22:30:00,8.06
2016-07-23 23:00:00,7.92
2016-07-23 23:30:00,7.88
2016-07-24 00:00:00,7.92
2016-07-24 00:30:00,7.76
2016-07-24 01:00:00,7.94
2016-07-24 01:30:00,7.96
2016-07-24 02:00:00,7.78
2016-07-24 02:30:00,7.78
2016-07-24 03:00:00,8.04
2016-07-24 03:30:00,7.9
2016-07-24 04:00:00,7.78
2016-07-24 04:30:00,7.8
2016-07-24 05:00:00,7.6
2016-07-24 05:30:00,7.74
2016-07-24 06:00:00,7.68
2016-07-24 06:30:00,7.76
2016-07-24 07:00:00,7.84
2016-07-24 07:30:00,7.42
2016-07-24 08:00:00,7.38
2016-07-24 08:30:00,7.54
2016-07-24 09:00:00,7.48
2016-07-24 09:30:00,7.6
2016-07-24 10:00:00,7.76
2016-07-24 10:30:00,7.34
2016-07-24 11:00:00,7.54
2016-07-24 11:30:00,7.3
2016-07-24 12:00:00,7.24
2016-07-24 12:30:00,7.28
2016-07-24 13:00:00,7.4
2016-07-24 13:30:00,7.58
2016-07-24 14:00:00,7.54
2016-07-24 14:30:00,7.62
2016-07-24 15:00:00,6.96
2016-07-24 15:30:00,7.36
2016-07-24 16:00:00,7.4
2016-07-24 16:30:00,7.24
2016-07-24 17:00:00,7.24
2016-07-24 17:30:00,7.28
2016-07-24 18:00:00,7.54
2016-07-24 18:30:00,7.48
2016-07-24 19:00:00,7.4
2016-07-24 19:30:00,7.42
2016-07-24 20:00:00,7.48
2016-07-24 20:30:00,7.42
2016-07-24 21:00:00,7.58
2016-07-24 21:30:00,7.72
2016-07-24 22:00:00,7.66
2016-07-24 22:30:00,7.52
2016-07-24 23:00:00,7.56
2016-07-24 23:30:00,7.8
2016-07-25 00:00:00,8.42
2016-07-25 00:30:00,8.38
2016-07-25 01:00:00,8.08
2016-07-25 01:30:00,7.82
2016-07-25 02:00:00,7.64
2016-07-25 02:30:00,7.78
2016-07-25 03:00:00,7.9
2016-07-25 03:30:00,7.8
2016-07-25 04:00:00,7.7
2016-07-25 04:30:00,7.78
2016-07-25 05:00:00,7.86
2016-07-25 05:30:00,7.6
2016-07-25 06:00:00,7.62
2016-07-25 06:30:00,7.56
2016-07-25 07:00:00,7.52
2016-07-25 07:30:00,7.46
2016-07-25 08:00:00,7.46
2016-07-25 08:30:00,7.46
2016-07-25 09:00:00,7.48
2016-07-25 09:30:00,7.38
2016-07-25 10:00:00,7.28
2016-07-25 10:30:00,7.2
2016-07-25 11:00:00,7.14
2016-07-25 11:30:00,7.14
2016-07-25 12:00:00,7.16
2016-07-25 12:30:00,7.18
2016-07-25 13:00:00,7.16
2016-07-25 13:30:00,7.36
2016-07-25 14:00:00,7.54
2016-07-25 14:30:00,7.1
2016-07-25 15:00:00,7.16
2016-07-25 15:30:00,7.22
2016-07-25 16:00:00,7.16
2016-07-25 16:30:00,7.24
2016-07-25 17:00:00,7.2
2016-07-25 17:30:00,7.26
2016-07-25 18:00:00,7.3
2016-07-25 18:30:00,7.36
2016-07-25 19:00:00,7.48
2016-07-25 19:30:00,7.56
2016-07-25 20:00:00,7.48
2016-07-25 20:30:00,7.48
2016-07-25 21:00:00,7.58
2016-07-25 21:30:00,7.62
2016-07-25 22:00:00,7.54
2016-07-25 22:30:00,7.64
2016-07-25 23:00:00,7.6
2016-07-25 23:30:00,7.62
2016-07-26 00:00:00,7.78
2016-07-26 00:30:00,7.84
2016-07-26 01:00:00,7.92
2016-07-26 01:30:00,7.94
2016-07-26 02:00:00,7.96
2016-07-26 02:30:00,7.8
2016-07-26 03:00:00,7.82
2016-07-26 03:30:00,7.66
2016-07-26 04:00:00,7.72
2016-07-26 04:30:00,7.78
2016-07-26 05:00:00,7.6
2016-07-26 05:30:00,7.8
2016-07-26 06:00:00,7.78
2016-07-26 06:30:00,7.74
2016-07-26 07:00:00,7.66
2016-07-26 07:30:00,7.48
2016-07-26 08:00:00,7.56
2016-07-26 08:30:00,7.6
2016-07-26 09:00:00,7.56
2016-07-26 09:30:00,7.56
2016-07-26 10:00:00,7.72
2016-07-26 10:30:00,7.5
2016-07-26 11:00:00,7.36
2016-07-26 11:30:00,7.26
2016-07-26 12:00:00,7.42
2016-07-26 12:30:00,7.48
2016-07-26 13:00:00,7.4
2016-07-26 13:30:00,7.44
2016-07-26 14:00:00,7.44
2016-07-26 14:30:00,7.24
2016-07-26 15:00:00,7.4
2016-07-26 15:30:00,7.48
2016-07-26 16:00:00,7.6
2016-07-26 16:30:00,7.66
2016-07-26 17:00:00,7.56
2016-07-26 17:30:00,7.34
2016-07-26 18:00:00,7.36
2016-07-26 18:30:00,7.44
2016-07-26 19:00:00,7.5
2016-07-26 19:30:00,7.44
2016-07-26 20:00:00,7.44
2016-07-26 20:30:00,7.5
2016-07-26 21:00:00,7.46
2016-07-26 21:30:00,7.46
2016-07-26 22:00:00,7.42
2016-07-26 22:30:00,7.48
2016-07-26 23:00:00,7.66
2016-07-26 23:30:00,7.68
2016-07-27 00:00:00,7.66
2016-07-27 00:30:00,7.68
2016-07-27 01:00:00,7.96
2016-07-27 01:30:00,7.78
2016-07-27 02:00:00,7.64
2016-07-27 02:30:00,7.48
2016-07-27 03:00:00,7.66
2016-07-27 03:30:00,7.62
2016-07-27 04:00:00,7.62
2016-07-27 04:30:00,7.76
2016-07-27 05:00:00,7.46
2016-07-27 05:30:00,7.34
2016-07-27 06:00:00,7.34
2016-07-27 06:30:00,7.42
2016-07-27 07:00:00,7.54
2016-07-27 07:30:00,7.5
2016-07-27 08:00:00,7.48
2016-07-27 08:30:00,7.22
2016-07-27 09:00:00,7.04
2016-07-27 09:30:00,7.16
2016-07-27 10:00:00,7.34
2016-07-27 10:30:00,7.16
2016-07-27 11:00:00,7.04
2016-07-27 11:30:00,7.06
2016-07-27 12:00:00,7.02
2016-07-27 12:30:00,7
2016-07-27 13:00:00,7.06
2016-07-27 13:30:00,7.38
2016-07-27 14:00:00,7.48
2016-07-27 14:30:00,7.04
2016-07-27 15:00:00,6.98
2016-07-27 15:30:00,7
2016-07-27 16:00:00,7.04
2016-07-27 16:30:00,7.08
2016-07-27 17:00:00,7.18
2016-07-27 17:30:00,7.2
2016-07-27 18:00:00,7.24
2016-07-27 18:30:00,7.3
2016-07-27 19:00:00,7.34
2016-07-27 19:30:00,7.38
2016-07-27 20:00:00,7.46
2016-07-27 20:30:00,7.42
2016-07-27 21:00:00,7.48
2016-07-27 21:30:00,7.48
2016-07-27 22:00:00,7.6
2016-07-27 22:30:00,7.66
2016-07-27 23:00:00,7.72
2016-07-27 23:30:00,7.88
2016-07-28 00:00:00,7.92
2016-07-28 00:30:00,7.92
2016-07-28 01:00:00,7.9
2016-07-28 01:30:00,7.96
2016-07-28 02:00:00,7.74
2016-07-28 02:30:00,7.68
2016-07-28 03:00:00,7.9
2016-07-28 03:30:00,7.8
2016-07-28 04:00:00,7.88
2016-07-28 04:30:00,7.94
2016-07-28 05:00:00,8.04
2016-07-28 05:30:00,7.86
2016-07-28 06:00:00,7.74
2016-07-28 06:30:00,7.72
2016-07-28 07:00:00,7.82
2016-07-28 07:30:00,7.76
2016-07-28 08:00:00,7.74
2016-07-28 08:30:00,7.68
2016-07-28 09:00:00,7.66
2016-07-28 09:30:00,7.72
2016-07-28 10:00:00,7.74
2016-07-28 10:30:00,7.86
2016-07-28 11:00:00,7.82
2016-07-28 11:30:00,7.64
2016-07-28 12:00:00,7.88
2016-07-28 12:30:00,7.56
2016-07-28 13:00:00,7.58
2016-07-28 13:30:00,7.6
2016-07-28 14:00:00,8.08
2016-07-28 14:30:00,8.48
2016-07-28 15:00:00,8.04
2016-07-28 15:30:00,7.78
2016-07-28 16:00:00,7.8
2016-07-28 16:30:00,7.9
2016-07-28 17:00:00,7.96
2016-07-28 17:30:00,8.04
2016-07-28 18:00:00,7.98
2016-07-28 18:30:00,8
2016-07-28 19:00:00,8.1
2016-07-28 19:30:00,8.14
2016-07-28 20:00:00,8.06
2016-07-28 20:30:00,8.98
2016-07-28 21:00:00,8.08
2016-07-28 21:30:00,8.06
2016-07-28 22:00:00,8.16
2016-07-28 22:30:00,8.26
2016-07-28 23:00:00,8.28
2016-07-28 23:30:00,8.42
2016-07-29 00:00:00,8.26
2016-07-29 00:30:00,8.74
2016-07-29 01:00:00,8.34
2016-07-29 01:30:00,8.4
2016-07-29 02:00:00,8.32
2016-07-29 02:30:00,8.46
2016-07-29 03:00:00,8.2
2016-07-29 03:30:00,8.14
2016-07-29 04:00:00,8.32
2016-07-29 04:30:00,8.36
2016-07-29 05:00:00,8.24
2016-07-29 05:30:00,8.24
2016-07-29 06:00:00,8.24
2016-07-29 06:30:00,8.08
2016-07-29 07:00:00,7.98
2016-07-29 07:30:00,8
2016-07-29 08:00:00,8
2016-07-29 08:30:00,7.98
2016-07-29 09:00:00,8.02
2016-07-29 09:30:00,8.04
2016-07-29 10:00:00,8.02
2016-07-29 10:30:00,7.98
2016-07-29 11:00:00,7.84
2016-07-29 11:30:00,7.7
2016-07-29 12:00:00,7.7
2016-07-29 12:30:00,7.78
2016-07-29 13:00:00,7.72
2016-07-29 13:30:00,7.68
2016-07-29 14:00:00,7.74
2016-07-29 14:30:00,7.86
2016-07-29 15:00:00,7.74
2016-07-29 15:30:00,7.58
2016-07-29 16:00:00,7.52
2016-07-29 16:30:00,7.56
2016-07-29 17:00:00,7.68
2016-07-29 17:30:00,7.84
2016-07-29 18:00:00,7.96
2016-07-29 18:30:00,8.08
2016-07-29 19:00:00,8.24
2016-07-29 19:30:00,8.1
2016-07-29 20:00:00,8.14
2016-07-29 20:30:00,8.14
2016-07-29 21:00:00,8.26
2016-07-29 21:30:00,8.36
2016-07-29 22:00:00,8.12
2016-07-29 22:30:00,8.08
2016-07-29 23:00:00,8.1
2016-07-29 23:30:00,8.08
2016-07-30 00:00:00,8.08
2016-07-30 00:30:00,8.2
2016-07-30 01:00:00,8.18
2016-07-30 01:30:00,8.22
2016-07-30 02:00:00,8.22
2016-07-30 02:30:00,8.18
2016-07-30 03:00:00,8.22
2016-07-30 03:30:00,8.28
2016-07-30 04:00:00,8.34
2016-07-30 04:30:00,8.4
2016-07-30 05:00:00,8.28
2016-07-30 05:30:00,8.3
2016-07-30 06:00:00,8.22
2016-07-30 06:30:00,8.2
2016-07-30 07:00:00,8.2
2016-07-30 07:30:00,8.16
2016-07-30 08:00:00,8.06
2016-07-30 08:30:00,8.14
2016-07-30 09:00:00,8.34
2016-07-30 09:30:00,8.18
2016-07-30 10:00:00,8.06
2016-07-30 10:30:00,7.96
2016-07-30 11:00:00,8.36
2016-07-30 11:30:00,8.36
2016-07-30 12:00:00,8.42
2016-07-30 12:30:00,8.58
2016-07-30 13:00:00,8.5
2016-07-30 13:30:00,8.64
2016-07-30 14:00:00,8.32
2016-07-30 14:30:00,8.38
2016-07-30 15:00:00,8.32
2016-07-30 15:30:00,8.26
2016-07-30 16:00:00,8.34
2016-07-30 16:30:00,8.48
2016-07-30 17:00:00,8.64
2016-07-30 17:30:00,8.2
2016-07-30 18:00:00,8.12
2016-07-30 18:30:00,8.9
2016-07-30 19:00:00,8.76
2016-07-30 19:30:00,8.28
2016-07-30 20:00:00,8.38
2016-07-30 20:30:00,8.6
2016-07-30 21:00:00,8.6
2016-07-30 21:30:00,8.62
2016-07-30 22:00:00,8.62
2016-07-30 22:30:00,8.66
2016-07-30 23:00:00,8.64
2016-07-30 23:30:00,8.56
2016-07-31 00:00:00,8.8
2016-07-31 00:30:00,8.82
2016-07-31 01:00:00,8.92
2016-07-31 01:30:00,8.66
2016-07-31 02:00:00,8.7
2016-07-31 02:30:00,8.54
2016-07-31 03:00:00,8.64
2016-07-31 03:30:00,8.8
2016-07-31 04:00:00,8.58
2016-07-31 04:30:00,8.76
2016-07-31 05:00:00,8.62
2016-07-31 05:30:00,8.48
2016-07-31 06:00:00,8.42
2016-07-31 06:30:00,8.34
2016-07-31 07:00:00,8.34
2016-07-31 07:30:00,8.36
2016-07-31 08:00:00,8.4
2016-07-31 08:30:00,8.28
2016-07-31 09:00:00,8.14
2016-07-31 09:30:00,8.16
2016-07-31 10:00:00,8.34
2016-07-31 10:30:00,8.78
2016-07-31 11:00:00,8.78
2016-07-31 11:30:00,8.86
2016-07-31 12:00:00,8.76
2016-07-31 12:30:00,8.68
2016-07-31 13:00:00,8.66
2016-07-31 13:30:00,8.72
2016-07-31 14:00:00,8.66
2016-07-31 14:30:00,8.78
2016-07-31 15:00:00,8.64
2016-07-31 15:30:00,8.56
2016-07-31 16:00:00,8.66
2016-07-31 16:30:00,8.64
2016-07-31 17:00:00,8.34
2016-07-31 17:30:00,8.3
2016-07-31 18:00:00,8.3
2016-07-31 18:30:00,8.4
2016-07-31 19:00:00,8.26
2016-07-31 19:30:00,8.58
2016-07-31 20:00:00,8.44
2016-07-31 20:30:00,8.52
2016-07-31 21:00:00,8.5
2016-07-31 21:30:00,8.54
2016-07-31 22:00:00,8.5
2016-07-31 22:30:00,8.5
2016-07-31 23:00:00,8.44
2016-07-31 23:30:00,8.58
